pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
KIC 7917485 b,KIC 7917485,1,1,1,Pulsation Timing Variations,2016,Kepler,Published Confirmed,0,<a refstr=MURPHY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..17M/abstract target=ref>Murphy et al. 2016</a>,840,22,-20,0,,,,,,,,,,,,,3750.394,254.264,-190.698,0,11.8,0.8,-0.6,0,Msini,0.15,0.13,-0.1,0,,,,,,,,,0,<a refstr=MURPHY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..17M/abstract target=ref>Murphy et al. 2016</a>,A,7067,192,-192,0,,,,,1.63,0.15,-0.12,0,-0.02,0.15,-0.15,0,[Fe/H],4,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h57m44.31s,299.4346094,+43d37m57.38s,43.6326069,1382.89,38.38,-36.4,13.166,0.057,-0.057,12.111,0.018,-0.018,13.1092,0.000551,-0.000551,8/17/16,2016-08,8/18/16
KIC 8121913 b,KIC 8121913,1,1,1,Orbital Brightness Modulation,2021,Kepler,Published Confirmed,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,3.294601,0.000013,-0.00022,0,,,,,,,,,,,,,667.43965,127.13136,-127.13136,0,2.1,0.4,-0.4,0,Msini,,,,,,,,,,,,,0,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,,5975.3,110.2,-109.4,0,2.23,0.05,-0.06,0,1.46,0.07,-0.15,0,0.252,0.128,-0.17,0,[Fe/H],3.9,0.03,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h55m52.27s,298.9677981,+43d54m33.76s,43.909378,707.303,11.313,-10.968,12.38,0.057,-0.057,10.763,0.024,-0.024,12.3034,0.000155,-0.000155,8/10/21,2021-10,8/10/21
KIC 8540376 b,KOI-7892,1,1,3,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,31.8099,0.00919,-0.00933,0,,,,,4.1,2.2,-1.9,0,0.366,0.196,-0.17,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6474,178,-267,0,1.26,0.56,-0.56,0,1.04,0.2,-0.2,0,-0.16,0.23,-0.32,0,[Fe/H],4.31,0.1,-0.33,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m30.61s,282.3775397,+44d41m40.45s,44.694569,1072.3,22.025,-22.025,14.411,0.114,-0.114,12.966,0.023,-0.023,14.2165,0.000257,-0.000257,12/24/15,2015-12,1/5/16
KIC 8540376 c,KOI-7892,1,1,3,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,75.2,38.9,-1.1,0,,,,,2.4,1.9,-1.4,0,0.214,0.17,-0.125,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6474,178,-267,0,1.26,0.56,-0.56,0,1.04,0.2,-0.2,0,-0.16,0.23,-0.32,0,[Fe/H],4.31,0.1,-0.33,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m30.61s,282.3775397,+44d41m40.45s,44.694569,1072.3,22.025,-22.025,14.411,0.114,-0.114,12.966,0.023,-0.023,14.2165,0.000257,-0.000257,12/24/15,2015-12,1/5/16
KIC 9663113 b,KIC 9663113,1,1,2,Transit,2015,Kepler,Published Confirmed,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,572.3847,0.00583,-0.00567,0,,,,,4.6,0.6,-0.7,0,0.41,0.054,-0.062,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=WANG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...815..127W/abstract target=ref>Wang et al. 2015</a>,,6065,155,-180,0,1.03,0.12,-0.12,0,0.98,0.13,-0.13,0,-0.28,0.28,-0.3,0,[Fe/H],4.42,0.08,-0.26,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m10.90s,297.0454037,+46d19m43.20s,46.3286653,1594.74,44.335,-44.335,14.027,0.137,-0.137,12.502,0.023,-0.023,13.9075,0.000225,-0.000225,12/24/15,2015-12,1/5/16
KOI-12 b,KOI-12,1,1,2,Transit,2015,Kepler,Published Confirmed,0,<a refstr=MASUDA_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...64M/abstract target=ref>Masuda 2017</a>,17.855182,0.000008,-0.000006,0,0.154,0.004,-0.003,0,13.787,0.673,-0.56,0,1.23,0.06,-0.05,0,349.613,1112.405,-254.264,0,1.1,3.5,-0.8,0,Mass,0.34,0.08,-0.07,0,,,,,,,,,1,<a refstr=MASUDA_2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...64M/abstract target=ref>Masuda 2017</a>,,,,,,1.4,0.07,-0.06,0,1.5,0.1,-0.1,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m48.90s,297.4537402,+41d00m39.67s,41.0110188,399.398,4.396,-4.303,11.51,0.014,-0.014,10.234,0.018,-0.018,11.2535,0.000523,-0.000523,11/1/19,2017-08,11/7/19
KOI-1257 b,KOI-1257,1,2,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=SANTERNE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...571A..37S/abstract target=ref>Santerne et al. 2014</a>,86.647661,0.000034,-0.000034,0,0.382,0.006,-0.006,0,10.54,1.35,-1.35,0,0.94,0.12,-0.12,0,460.83,111.24,-111.24,0,1.45,0.35,-0.35,0,Mass,0.772,0.045,-0.045,0,,,,,511,50,-50,0,0,<a refstr=SANTERNE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...571A..37S/abstract target=ref>Santerne et al. 2014</a>,G5 V,5520,80,-80,0,1.13,0.14,-0.14,0,0.99,0.05,-0.05,0,0.27,0.09,-0.09,0,[Fe/H],4.32,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m54.02s,291.2250888,+44d55m38.25s,44.9272918,,,,14.818,0.069,-0.069,12.726,0.023,-0.023,14.6419,0.00049,-0.00049,6/25/14,2014-06,6/25/14
KOI-13 b,KOI-13,1,3,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,1.763588,0.000001,-0.000001,0,0.03641,0.00087,-0.00087,0,16.948,0.392,-0.392,0,1.512,0.035,-0.035,0,2949.4624,50.8528,-50.8528,0,9.28,0.16,-0.16,0,Mass,0.00064,0.00012,-0.00016,0,,,,,2550,80,-80,0,1,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,7650,250,-250,0,1.74,0.04,-0.04,0,1.72,0.1,-0.1,0,0.2,0.2,-0.2,0,[Fe/H],4.2,0.5,-0.5,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h07m53.13s,286.9713876,+46d52m05.69s,46.8682463,519.096,30.703,-27.506,9.791,0.023,-0.023,9.425,0.014,-0.014,10.3678,0.001225,-0.001225,10/7/15,2015-05,10/15/15
KOI-142 b,KOI-142,1,1,3,Transit,2013,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,10.91647,0.00014,-0.00014,0,,,,,3.438,0.075,-0.075,0,0.307,0.007,-0.007,0,9.5,1.1,-1.1,0,0.03,0.0036,-0.0036,0,Mass,0.05561,0.00013,-0.00013,0,,,,,,,,,1,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,,5466,60,-60,0,0.9,0.02,-0.02,0,0.99,0.02,-0.02,0,0.27,0.06,-0.06,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,376.863,2.01,-1.991,13.209,0.126,-0.126,11.454,0.019,-0.019,13.1048,0.000275,-0.000275,5/28/20,2020-05,6/4/20
KOI-142 c,KOI-142,1,1,3,Transit,2013,Kepler,Published Confirmed,0,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,22.26492,0.00067,-0.00067,0,,,,,,,,,,,,,214.1,5.2,-5.2,0,0.674,0.016,-0.016,0,Mass,0.05724,0.00045,-0.00045,0,,,,,,,,,0,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,,5466,60,-60,0,0.9,0.02,-0.02,0,0.99,0.02,-0.02,0,0.27,0.06,-0.06,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,376.863,2.01,-1.991,13.209,0.126,-0.126,11.454,0.019,-0.019,13.1048,0.000275,-0.000275,5/28/20,2020-05,6/4/20
